1,2.01,1,0.343,0.777
1,3.21,4,0.343,0.222
1,4.41,2,0.656,0.222
1,5.61,3,0.656,0.777
1,6.81,1,0.343,0.777
1,8.01,4,0.343,0.222
1,8.61,4,0.5,0.222
1,9.21,4,0.656,0.222
1,10.41,2,0.656,0.222
1,11.01,2,0.656,0.5
1,11.61,2,0.656,0.777
1,12.81,3,0.656,0.777
1,14.01,1,0.343,0.777
1,15.21,4,0.343,0.222
1,15.81,4,0.5,0.222
1,16.41,4,0.656,0.222
1,17.61,2,0.656,0.222
1,18.21,2,0.656,0.5
1,18.81,2,0.656,0.777
1,20.31,4,0.375,0.222
1,20.61,4,0.437,0.222
1,20.91,4,0.5,0.222
1,21.21,4,0.562,0.222
1,21.51,4,0.5,0.222
1,21.81,4,0.625,0.222
1,22.11,4,0.687,0.222
1,22.41,4,0.75,0.222
3,23.01,1,0.406,0.7219999,0.625,0.277,0.6
1,23.91,4,0.281,0.277
1,24.06,4,0.25,0.277
1,24.51,4,0.562,0.277
1,24.81,4,0.687,0.277
1,25.11,3,0.781,0.833
1,25.41,3,0.218,0.833
1,25.71,3,0.718,0.777
1,26.01,3,0.281,0.777
1,26.31,3,0.656,0.7219999
1,26.61,3,0.343,0.7219999
1,26.91,3,0.593,0.6659999
1,27.21,3,0.406,0.6659999
1,27.81,4,0.375,0.277
1,28.41,4,0.5,0.277
2,29.01,4,0.625,0.277,0.6
1,29.91,1,0.343,0.277
1,30.21,1,0.343,0.388
1,30.51,1,0.343,0.5
1,30.81,1,0.343,0.6109999
1,31.11,1,0.343,0.7219999
1,31.71,3,0.687,0.7219999
1,32.31,3,0.75,0.7219999
1,32.91,4,0.531,0.222
1,33.21,4,0.468,0.222
1,33.51,4,0.593,0.222
1,33.81,4,0.406,0.222
1,34.41,4,0.593,0.222
1,34.71,4,0.343,0.222
1,34.86,4,0.312,0.222
1,35.31,4,0.687,0.222
2,35.61,4,0.25,0.222,0.9
1,37.71,2,0.687,0.6659999
1,38.01,2,0.687,0.555
1,38.31,2,0.687,0.444
1,38.61,2,0.687,0.555
1,38.91,2,0.687,0.6659999
1,39.51,4,0.25,0.222
1,39.81,4,0.75,0.222
1,40.11,4,0.312,0.222
1,40.41,4,0.687,0.222
1,40.71,4,0.375,0.222
1,41.01,4,0.625,0.222
1,41.31,4,0.437,0.222
1,41.61,4,0.562,0.222
1,42.21,4,0.5,0.222
1,42.51,1,0.312,0.777
1,43.11,2,0.718,0.6659999
1,43.26,2,0.718,0.6109999
1,43.71,1,0.312,0.555
1,44.01,1,0.312,0.444
1,44.31,4,0.593,0.166
1,44.61,4,0.406,0.166
1,44.91,4,0.656,0.166
1,45.21,4,0.343,0.166
1,45.51,4,0.718,0.166
1,45.81,4,0.281,0.166
1,46.11,4,0.781,0.166
1,46.41,4,0.218,0.166
1,47.01,3,0.656,0.777
1,47.31,3,0.281,0.777
1,47.61,3,0.593,0.777
2,48.21,3,0.718,0.777,0.6
1,49.11,1,0.281,0.833
1,49.41,2,0.718,0.7219999
1,49.71,1,0.281,0.6109999
1,50.01,2,0.718,0.5
1,50.31,1,0.281,0.388
1,50.61,2,0.718,0.277
1,50.91,4,0.281,0.166
1,51.51,4,0.718,0.166
1,52.11,4,0.593,0.166
1,52.41,4,0.343,0.166
1,52.71,4,0.656,0.166
1,52.86,4,0.281,0.166
1,53.31,2,0.781,0.277
1,53.61,2,0.781,0.388
1,53.91,2,0.781,0.5
3,54.21,1,0.343,0.777,0.343,0.444,0.6
1,55.11,2,0.781,0.777
1,55.41,2,0.781,0.6659999
1,55.71,2,0.781,0.555
1,56.01,2,0.781,0.444
1,56.61,4,0.437,0.166
1,56.91,4,0.375,0.166
1,57.21,4,0.656,0.166
2,57.81,4,0.718,0.166,0.6
1,58.71,3,0.281,0.777
1,59.01,3,0.343,0.777
1,59.31,3,0.406,0.777
1,59.61,2,0.75,0.555
1,59.91,2,0.75,0.444
1,60.21,2,0.75,0.333
2,60.51,2,0.75,0.222,0.6
1,61.71,1,0.25,0.6659999
1,62.01,1,0.25,0.555
1,62.31,1,0.25,0.444
1,62.61,1,0.25,0.333
2,62.91,1,0.25,0.222,0.6
1,64.11,4,0.687,0.166
1,64.41,4,0.5,0.166
1,64.71,4,0.437,0.166
1,65.01,4,0.625,0.166
1,65.31,4,0.375,0.166
1,65.61,4,0.312,0.166
1,65.91,4,0.687,0.166
1,66.06,4,0.656,0.166
1,66.51,4,0.375,0.166
